,title,description,link,plink,pubDate
19,Twitch hate raids: Minority streamers have 'a target on their back',Streamers tell Newsbeat about the targeted hate they get and what they want Twitch to do about it.,https://www.bbc.co.uk/news/newsbeat-58594732?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/newsbeat-58594732,"Mon, 20 Sep 2021 23:24:55 GMT"
20,Angry scenes at Haiti airport as deported migrants arrive,"The US is flying migrants out of a Texas border town where 13,000 have gathered in makeshift camps.",https://www.bbc.co.uk/news/world-latin-america-58650753?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-latin-america-58650753,"Wed, 22 Sep 2021 21:26:02 GMT"
21,Migrants in Texas: US probes horseback charge on Haiti migrants,Images which seem to show border agents on horseback driving migrants back spark an investigation.,https://www.bbc.co.uk/news/world-us-canada-58637116?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58637116,"Tue, 21 Sep 2021 09:38:43 GMT"
22,Colombia: Migrants risking it all to cross Darien Gap,"It takes up to 20 days, and can be deadly – but everyday hundreds try to cross the border between Panama and Colombia.",https://www.bbc.co.uk/news/world-latin-america-56544700?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-latin-america-56544700,"Sun, 28 Mar 2021 23:02:19 GMT"
23,Covid: Biden to continue Trump's Title 42 migrant expulsions,The White House plans to continue the controversial Title 42 policy to help combat Covid-19.,https://www.bbc.co.uk/news/world-us-canada-58077311?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58077311,"Tue, 03 Aug 2021 18:23:35 GMT"
24,'Our first day of freedom on American soil',Adrian Meza and his family from Nicaragua have just been released from detention by US border officials.,https://www.bbc.co.uk/news/world-us-canada-57022918?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-57022918,"Fri, 07 May 2021 23:18:36 GMT"
25,'Heartbreaking' conditions in US migrant child camp,An investigation by the BBC has uncovered alarming conditions at a child migrant camp in Texas.,https://www.bbc.co.uk/news/world-us-canada-57561760?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-57561760,"Wed, 23 Jun 2021 00:51:28 GMT"
26,US migrant camp 'kids feel like they're in prison',"More than 2,000 migrant children are being detained in an overcrowded camp in Texas ridden with disease.",https://www.bbc.co.uk/news/world-us-canada-57576306?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-57576306,"Wed, 23 Jun 2021 01:17:39 GMT"
27,Mexico: Risking everything for an American dream,Thousands of migrants from Central America are making an arduous journey to the US border.,https://www.bbc.co.uk/news/world-us-canada-56432363?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-56432363,"Wed, 17 Mar 2021 23:04:07 GMT"
28,Children speak of neglect in US asylum camps,"The BBC has uncovered allegations of cold temperatures, sickness, lice and abuse, through a series of interviews with children and staff at US detention camps for children.",https://www.bbc.co.uk/news/world-us-canada-57149721?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-57149721,"Sun, 23 May 2021 23:03:09 GMT"
29,Guatemala: Suffocated youth unafraid of a deadly journey,Tougher policies and deaths on the road are unlikely to stop Guatemalans from trying to reach the US.,https://www.bbc.co.uk/news/world-latin-america-56260568?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-latin-america-56260568,"Fri, 26 Mar 2021 00:21:32 GMT"
30,Immigration: Is US-Mexico border seeing a surge in migrants?,"Donald Trump says migrants are crossing the border like the US ""has never seen"". We've checked the numbers.",https://www.bbc.co.uk/news/57656959?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/57656959,"Thu, 01 Jul 2021 00:46:03 GMT"
31,"Fashion house in backlash over 'racist' $1,190 sweatpants","Critics say the $1,190 pants, which come with a built-in pair of boxer shorts, rip off US hip hop culture.",https://www.bbc.co.uk/news/business-58563242?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/business-58563242,"Tue, 14 Sep 2021 19:08:02 GMT"
32,'Black national anthem' makes its debut at the NFL,"The song ""Lift every Voice and Sing"" will be played regularly at American football games this season.",https://www.bbc.co.uk/news/world-us-canada-58482970?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58482970,"Fri, 10 Sep 2021 02:15:37 GMT"
33,Dontae Sharpe: 'My 26-year fight to prove my innocence',"After two decades wrongfully behind bars, Dontae Sharpe is finally free but there's one more battle to fight.",https://www.bbc.co.uk/news/world-us-canada-58413322?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58413322,"Wed, 01 Sep 2021 23:13:57 GMT"
34,Why was this US athlete 'too tall' to race?,"Blake Leeper fought to compete with able-bodied athletes, but his blades were deemed too long.",https://www.bbc.co.uk/news/disability-58398944?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/disability-58398944,"Tue, 31 Aug 2021 23:08:29 GMT"
35,Elijah McClain: Five officials charged in black man's death,"Elijah McClain, 23, was put in a chokehold and injected with ketamine after being stopped by police.",https://www.bbc.co.uk/news/world-us-canada-58414183?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58414183,"Wed, 01 Sep 2021 18:41:14 GMT"
36,FBI hate crime reports spike to 12-year high in 2020,"According to an FBI report, black and Asian Americans saw the biggest surges in targeted offences.",https://www.bbc.co.uk/news/world-us-canada-58402839?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58402839,"Tue, 31 Aug 2021 22:58:14 GMT"
37,Biden's unlikely plan to use roads to fight racism,An infrastructure package that seeks to address inequality gets a mixed reception on the ground.,https://www.bbc.co.uk/news/world-us-canada-58106414?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58106414,"Mon, 09 Aug 2021 23:17:49 GMT"
38,The devastating human cost of rising US gun violence,Deadly shootings are on the rise in many US cities - poorer and black communities are hardest hit.,https://www.bbc.co.uk/news/world-us-canada-58207384?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58207384,"Fri, 20 Aug 2021 01:30:15 GMT"
39,US census: Hispanic and Asian-American driving US population growth,Newly released data points to sluggish population growth and a more multiracial US.,https://www.bbc.co.uk/news/world-us-canada-58195166?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58195166,"Thu, 12 Aug 2021 21:40:54 GMT"
40,Global heating: Study shows impact of 'climate racism' in US,Black people in the US are subject to double the level of heat stress in cities than whites.,https://www.bbc.co.uk/news/science-environment-57235904?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/science-environment-57235904,"Tue, 25 May 2021 15:07:42 GMT"
41,How US police training compares with the rest of the world,"Amid calls to improve training in the US, we examine how it compares with other developed countries.",https://www.bbc.co.uk/news/world-us-canada-56834733?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-56834733,"Mon, 17 May 2021 23:39:10 GMT"
42,My husband and son fought in Afghanistan - it changed all of us,America's two decades in Afghanistan impacted those who served - and the families waiting at home.,https://www.bbc.co.uk/news/world-us-canada-58603119?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58603119,"Sun, 19 Sep 2021 18:46:45 GMT"
43,From Katrina to Ida: How US presidents react to climate change and natural disasters,"Since Hurricane Katrina in 2005, US presidents have realised the impact of their reactions to extreme weather.",https://www.bbc.co.uk/news/world-us-canada-58561655?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58561655,"Sat, 18 Sep 2021 23:02:19 GMT"
44,Canada election: Why it takes 30 years to buy a house in Canada,Canada's skyrocketing housing costs have become a key election issue this year.,https://www.bbc.co.uk/news/world-us-canada-58495604?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58495604,"Sat, 18 Sep 2021 00:31:43 GMT"
45,Canadian prairie ranchers struggle with drought conditions,"Amid a severe drought in the Prairies, some ranchers are trying to find ways to work with nature.",https://www.bbc.co.uk/news/world-us-canada-58573877?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58573877,"Wed, 15 Sep 2021 23:04:28 GMT"
46,Olympic gymnasts give powerful testimony about sexual abuse,Gymnasts Simone Biles and McKayla Maroney testified before the Senate about Larry Nassar's abuse.,https://www.bbc.co.uk/news/world-us-canada-58576775?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58576775,"Wed, 15 Sep 2021 19:09:40 GMT"
47,Match crowd catches falling cat in a flag,"The cat used one of its nine lives at the American football match in Miami Gardens, Florida.",https://www.bbc.co.uk/news/world-us-canada-58540023?at_medium=RSS&at_campaign=KARANGA,https://www.bbc.co.uk/news/world-us-canada-58540023,"Sun, 12 Sep 2021 19:43:50 GMT"
