titled,descriptiond,pubdated,linkd
Covid: Biden to continue Trump's Title 42 migrant expulsions,The White House plans to continue the controversial Title 42 policy to help combat Covid-19.,"Tue, 03 Aug 2021 18:23:35 GMT",https://www.bbc.co.uk/news/world-us-canada-58077311?at_medium=RSS&at_campaign=KARANGA
'Our first day of freedom on American soil',Adrian Meza and his family from Nicaragua have just been released from detention by US border officials.,"Fri, 07 May 2021 23:18:36 GMT",https://www.bbc.co.uk/news/world-us-canada-57022918?at_medium=RSS&at_campaign=KARANGA
'Heartbreaking' conditions in US migrant child camp,An investigation by the BBC has uncovered alarming conditions at a child migrant camp in Texas.,"Wed, 23 Jun 2021 00:51:28 GMT",https://www.bbc.co.uk/news/world-us-canada-57561760?at_medium=RSS&at_campaign=KARANGA
US migrant camp 'kids feel like they're in prison',"More than 2,000 migrant children are being detained in an overcrowded camp in Texas ridden with disease.","Wed, 23 Jun 2021 01:17:39 GMT",https://www.bbc.co.uk/news/world-us-canada-57576306?at_medium=RSS&at_campaign=KARANGA
Mexico: Risking everything for an American dream,Thousands of migrants from Central America are making an arduous journey to the US border.,"Wed, 17 Mar 2021 23:04:07 GMT",https://www.bbc.co.uk/news/world-us-canada-56432363?at_medium=RSS&at_campaign=KARANGA
Children speak of neglect in US asylum camps,"The BBC has uncovered allegations of cold temperatures, sickness, lice and abuse, through a series of interviews with children and staff at US detention camps for children.","Sun, 23 May 2021 23:03:09 GMT",https://www.bbc.co.uk/news/world-us-canada-57149721?at_medium=RSS&at_campaign=KARANGA
Guatemala: Suffocated youth unafraid of a deadly journey,Tougher policies and deaths on the road are unlikely to stop Guatemalans from trying to reach the US.,"Fri, 26 Mar 2021 00:21:32 GMT",https://www.bbc.co.uk/news/world-latin-america-56260568?at_medium=RSS&at_campaign=KARANGA
Immigration: Is US-Mexico border seeing a surge in migrants?,"Donald Trump says migrants are crossing the border like the US ""has never seen"". We've checked the numbers.","Thu, 01 Jul 2021 00:46:03 GMT",https://www.bbc.co.uk/news/57656959?at_medium=RSS&at_campaign=KARANGA
"Fashion house in backlash over 'racist' $1,190 sweatpants","Critics say the $1,190 pants, which come with a built-in pair of boxer shorts, rip off US hip hop culture.","Tue, 14 Sep 2021 19:08:02 GMT",https://www.bbc.co.uk/news/business-58563242?at_medium=RSS&at_campaign=KARANGA
'Black national anthem' makes its debut at the NFL,"The song ""Lift every Voice and Sing"" will be played regularly at American football games this season.","Fri, 10 Sep 2021 02:15:37 GMT",https://www.bbc.co.uk/news/world-us-canada-58482970?at_medium=RSS&at_campaign=KARANGA
Dontae Sharpe: 'My 26-year fight to prove my innocence',"After two decades wrongfully behind bars, Dontae Sharpe is finally free but there's one more battle to fight.","Wed, 01 Sep 2021 23:13:57 GMT",https://www.bbc.co.uk/news/world-us-canada-58413322?at_medium=RSS&at_campaign=KARANGA
Why was this US athlete 'too tall' to race?,"Blake Leeper fought to compete with able-bodied athletes, but his blades were deemed too long.","Tue, 31 Aug 2021 23:08:29 GMT",https://www.bbc.co.uk/news/disability-58398944?at_medium=RSS&at_campaign=KARANGA
Elijah McClain: Five officials charged in black man's death,"Elijah McClain, 23, was put in a chokehold and injected with ketamine after being stopped by police.","Wed, 01 Sep 2021 18:41:14 GMT",https://www.bbc.co.uk/news/world-us-canada-58414183?at_medium=RSS&at_campaign=KARANGA
FBI hate crime reports spike to 12-year high in 2020,"According to an FBI report, black and Asian Americans saw the biggest surges in targeted offences.","Tue, 31 Aug 2021 22:58:14 GMT",https://www.bbc.co.uk/news/world-us-canada-58402839?at_medium=RSS&at_campaign=KARANGA
Biden's unlikely plan to use roads to fight racism,An infrastructure package that seeks to address inequality gets a mixed reception on the ground.,"Mon, 09 Aug 2021 23:17:49 GMT",https://www.bbc.co.uk/news/world-us-canada-58106414?at_medium=RSS&at_campaign=KARANGA
The devastating human cost of rising US gun violence,Deadly shootings are on the rise in many US cities - poorer and black communities are hardest hit.,"Fri, 20 Aug 2021 01:30:15 GMT",https://www.bbc.co.uk/news/world-us-canada-58207384?at_medium=RSS&at_campaign=KARANGA
US census: Hispanic and Asian-American driving US population growth,Newly released data points to sluggish population growth and a more multiracial US.,"Thu, 12 Aug 2021 21:40:54 GMT",https://www.bbc.co.uk/news/world-us-canada-58195166?at_medium=RSS&at_campaign=KARANGA
Global heating: Study shows impact of 'climate racism' in US,Black people in the US are subject to double the level of heat stress in cities than whites.,"Tue, 25 May 2021 15:07:42 GMT",https://www.bbc.co.uk/news/science-environment-57235904?at_medium=RSS&at_campaign=KARANGA
